datetime,value
2008-06-01,1.2839416666666668
2008-06-02,0.7458416666666666
2008-06-03,1.1095944444444445
2008-06-04,1.1034111111111111
2008-06-05,0.7778319444444445
2008-06-06,0.8456347222222221
2008-06-07,1.3072805555555556
2008-06-08,1.0710569444444444
2008-06-09,0.9206236111111111
2008-06-10,0.7410347222222222
2008-06-11,0.7800041666666666
2008-06-12,0.8745361111111112
2008-06-13,1.3024878387769283
2008-06-14,0.9617500000000001
2008-06-15,1.5896541666666666
2008-06-16,0.9048916666666668
2008-06-17,0.7951972222222222
2008-06-18,1.3150055555555555
2008-06-19,1.1028347222222221
2008-06-20,1.1639611111111112
2008-06-21,1.2043430555555554
2008-06-22,1.087788888888889
2008-06-23,0.8693027777777778
2008-06-24,1.2183694444444444
2008-06-25,0.8762291666666666
2008-06-26,0.7333472222222223
2008-06-27,1.2188555555555556
2008-06-28,0.8394444444444444
2008-06-29,0.5203833333333333
2008-06-30,0.5584694444444445
